ADAL,AIBR,RIML
RIML,SMDVL,SMDDR
RIML,RMDR,RMDL
RIML,AIZL,AIBR
RMDL,RMDR,RMGL
RIGL,RIR,ADFL
AIZL,ASEL,AIAL
RIAL,RMDDR,RMDVL
RIAL,RMDVR,RMDDL
RIAL,RIBL,SMDVR
AUAL,RIBL,AINR
ADLL,ASEL,AIAL
ADLL,AIAL,AWCL
AFDL,AWAL,AIYL
RIBR,BAGL,AINL
SMDVR,SMDDL,RICL
RMDVL,RMDDR,URYDL
RMDDL,URYVL,RMDVR
RMDDL,RMDVR,IL1L
IL1L,IL2L,RMDR
