pre,post,class_1,class_2,cluster_1,cluster_2,layer_1,layer_2,synapse_class,total_contacts,L1-0,L1-5,L1-8,L1-16,L2,L3,L4-JSH,Adult-50,Adult-N2U
AIBR,SIADL,AIB,SIA,Taxis,Sublateral,3,3,1,6,1,0,0,0,0,2,1,0,2
SIADL,AIBR,AIB,SIA,Sublateral,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
SIAVL,AVER,SIA,AVE,Sublateral,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
AVER,SIAVL,SIA,AVE,Anterior,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIAVL,DVA,SIA,DVA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
DVA,SIAVL,SIA,DVA,Sublateral,Sublateral,3,3,1,2,0,0,0,0,0,1,1,0,0
SIAVL,RMDR,SIA,RMD,Sublateral,Unclassified,3,3,1,1,0,0,0,0,0,0,0,0,1
RMDR,SIAVL,SIA,RMD,Unclassified,Sublateral,3,3,1,2,0,0,0,0,1,0,0,0,1
SIAVL,RICL,SIA,RIC,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RICL,SIAVL,SIA,RIC,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIAVL,SIBDL,SIA,SIB,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIBDL,SIAVL,SIA,SIB,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIAVL,SIADL,SIA,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,SIAVL,SIA,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVBL,DVA,AVB,DVA,Avoidance,Sublateral,3,3,1,1,0,0,0,0,0,0,0,0,1
DVA,AVBL,AVB,DVA,Sublateral,Avoidance,3,3,1,6,1,0,0,0,0,1,1,1,2
AVBL,AVBR,AVB,AVB,Avoidance,Avoidance,3,3,1,1,0,0,0,0,0,0,0,0,1
AVBR,AVBL,AVB,AVB,Avoidance,Avoidance,3,3,1,1,0,0,0,0,0,0,0,0,1
AVBL,AVEL,AVB,AVE,Avoidance,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
AVEL,AVBL,AVB,AVE,Anterior,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
AVBL,AVHL,AVB,AVH,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
AVHL,AVBL,AVB,AVH,Avoidance,Avoidance,3,3,1,5,0,0,0,0,1,0,0,2,2
AVBL,AIBL,AVB,AIB,Avoidance,Taxis,3,3,1,1,0,0,0,0,0,0,0,0,1
AIBL,AVBL,AVB,AIB,Taxis,Avoidance,3,3,3,18,2,2,2,2,2,2,2,2,2
AVBL,PVPL,AVB,PVP,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
PVPL,AVBL,AVB,PVP,Avoidance,Avoidance,3,3,2,15,1,2,1,1,2,2,2,2,2
AVBL,PVPR,AVB,PVP,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
PVPR,AVBL,AVB,PVP,Avoidance,Avoidance,3,3,2,14,1,1,1,1,2,2,2,2,2
AVBL,PVCL,AVB,PVC,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
PVCL,AVBL,AVB,PVC,Avoidance,Avoidance,3,3,2,15,1,1,2,2,1,2,2,2,2
AVBL,ADFL,AVB,ADF,Avoidance,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
ADFL,AVBL,AVB,ADF,Taxis,Avoidance,1,3,0,0,0,0,0,0,0,0,0,0,0
AVBL,PVCR,AVB,PVC,Avoidance,Avoidance,3,3,1,1,0,0,0,0,0,0,0,0,1
PVCR,AVBL,AVB,PVC,Avoidance,Avoidance,3,3,3,17,2,2,2,1,2,2,2,2,2
AVBL,RIMR,AVB,RIM,Avoidance,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIMR,AVBL,AVB,RIM,Lateral,Avoidance,3,3,3,18,2,2,2,2,2,2,2,2,2
AVBL,SIBDR,AVB,SIB,Avoidance,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIBDR,AVBL,AVB,SIB,Sublateral,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
AVBL,RIBR,AVB,RIB,Avoidance,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
RIBR,AVBL,AVB,RIB,Taxis,Avoidance,3,3,1,4,0,1,0,0,0,0,1,0,2
SIBDL,SMDDL,SIB,SMD,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDDL,SIBDL,SIB,SMD,Lateral,Sublateral,3,3,2,2,0,0,0,0,0,0,0,0,2
SIBDL,RMDR,SIB,RMD,Sublateral,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDR,SIBDL,SIB,RMD,Unclassified,Sublateral,3,3,1,2,0,0,0,0,1,0,0,1,0
SIBDL,RICL,SIB,RIC,Sublateral,Sublateral,3,3,1,1,0,0,0,0,0,0,1,0,0
RICL,SIBDL,SIB,RIC,Sublateral,Sublateral,3,3,1,1,0,0,0,0,0,1,0,0,0
SIBDL,SMDVL,SIB,SMD,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDVL,SIBDL,SIB,SMD,Lateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIBDL,SMBDR,SIB,SMB,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMBDR,SIBDL,SIB,SMB,Sublateral,Sublateral,3,3,1,3,0,0,0,1,0,0,1,1,0
SIBDL,AVBR,SIB,AVB,Sublateral,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
AVBR,SIBDL,SIB,AVB,Avoidance,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIBDL,SIADL,SIB,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,SIBDL,SIB,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
DVA,AIBL,DVA,AIB,Sublateral,Taxis,3,3,1,1,0,0,1,0,0,0,0,0,0
AIBL,DVA,DVA,AIB,Taxis,Sublateral,3,3,1,3,0,0,0,0,0,1,0,1,1
DVA,AIZL,DVA,AIZ,Sublateral,Taxis,3,3,3,16,1,2,2,2,2,2,1,2,2
AIZL,DVA,DVA,AIZ,Taxis,Sublateral,3,3,2,3,0,0,0,0,0,0,0,1,2
DVA,AVEL,DVA,AVE,Sublateral,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
AVEL,DVA,DVA,AVE,Anterior,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
DVA,BAGL,DVA,BAG,Sublateral,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
BAGL,DVA,DVA,BAG,Taxis,Sublateral,1,3,0,0,0,0,0,0,0,0,0,0,0
DVA,PVPL,DVA,PVP,Sublateral,Avoidance,3,3,1,5,0,0,0,0,2,1,1,0,1
PVPL,DVA,DVA,PVP,Avoidance,Sublateral,3,3,1,3,0,1,0,1,1,0,0,0,0
DVA,SIADL,DVA,SIA,Sublateral,Sublateral,3,3,1,3,0,2,0,0,1,0,0,0,0
SIADL,DVA,DVA,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
DVA,SMDVL,DVA,SMD,Sublateral,Lateral,3,3,1,1,0,0,0,0,0,0,0,0,1
SMDVL,DVA,DVA,SMD,Lateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVEL,SMDDL,AVE,SMD,Anterior,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDDL,AVEL,AVE,SMD,Lateral,Anterior,3,3,2,2,0,0,0,0,0,0,0,0,2
AVEL,URXL,AVE,URX,Anterior,Unclassified,3,1,1,1,0,0,0,0,0,0,0,0,1
URXL,AVEL,AVE,URX,Unclassified,Anterior,1,3,2,13,0,1,0,2,2,2,2,2,2
AVEL,URYDR,AVE,URY,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
URYDR,AVEL,AVE,URY,Anterior,Anterior,1,3,3,18,2,2,2,2,2,2,2,2,2
AVEL,RIBL,AVE,RIB,Anterior,Taxis,3,3,1,1,0,0,0,0,0,0,1,0,0
RIBL,AVEL,AVE,RIB,Taxis,Anterior,3,3,3,17,1,2,2,2,2,2,2,2,2
AVEL,AUAL,AVE,AUA,Anterior,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
AUAL,AVEL,AVE,AUA,Taxis,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
AVEL,SMDVL,AVE,SMD,Anterior,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDVL,AVEL,AVE,SMD,Lateral,Anterior,3,3,1,1,0,0,0,0,0,0,0,0,1
AVEL,ALA,AVE,ALA,Anterior,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
ALA,AVEL,AVE,ALA,Taxis,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
AVEL,RIS,AVE,RIS,Anterior,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIS,AVEL,AVE,RIS,Lateral,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
AVEL,AIZL,AVE,AIZ,Anterior,Taxis,3,3,1,1,0,0,0,0,0,0,0,0,1
AIZL,AVEL,AVE,AIZ,Taxis,Anterior,3,3,2,11,1,0,1,1,1,2,1,2,2
AVEL,IL1L,AVE,IL1,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
IL1L,AVEL,AVE,IL1,Anterior,Anterior,1,3,1,1,0,0,0,0,0,0,0,0,1
AVEL,AIBL,AVE,AIB,Anterior,Taxis,3,3,1,1,0,0,0,0,0,0,1,0,0
AIBL,AVEL,AVE,AIB,Taxis,Anterior,3,3,1,7,2,0,1,0,0,0,2,1,1
AVEL,AVKL,AVE,AVK,Anterior,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVKL,AVEL,AVE,AVK,Lateral,Anterior,3,3,3,17,2,2,2,2,2,2,2,2,1
AVEL,OLLR,AVE,OLL,Anterior,Anterior,3,1,1,1,0,0,0,0,0,0,0,0,1
OLLR,AVEL,AVE,OLL,Anterior,Anterior,1,3,3,18,2,2,2,2,2,2,2,2,2
AVEL,URYVR,AVE,URY,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
URYVR,AVEL,AVE,URY,Anterior,Anterior,1,3,3,18,2,2,2,2,2,2,2,2,2
AVEL,RMDDR,AVE,RMD,Anterior,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDDR,AVEL,AVE,RMD,Anterior,Anterior,3,3,1,1,0,0,0,0,0,0,0,0,1
AVEL,CEPDR,AVE,CEP,Anterior,Sublateral,3,1,1,1,0,0,0,0,0,0,0,0,1
CEPDR,AVEL,AVE,CEP,Sublateral,Anterior,1,3,3,17,1,2,2,2,2,2,2,2,2
AVEL,SIAVR,AVE,SIA,Anterior,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIAVR,AVEL,AVE,SIA,Sublateral,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
AVEL,RIMR,AVE,RIM,Anterior,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIMR,AVEL,AVE,RIM,Lateral,Anterior,3,3,1,3,0,0,0,0,0,1,1,0,1
AVEL,BAGR,AVE,BAG,Anterior,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
BAGR,AVEL,AVE,BAG,Taxis,Anterior,1,3,2,15,1,2,0,2,2,2,2,2,2
AVEL,RIBR,AVE,RIB,Anterior,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
RIBR,AVEL,AVE,RIB,Taxis,Anterior,3,3,3,16,1,2,1,2,2,2,2,2,2
AVEL,CEPVR,AVE,CEP,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
CEPVR,AVEL,AVE,CEP,Anterior,Anterior,1,3,3,17,2,2,1,2,2,2,2,2,2
AVEL,AVKR,AVE,AVK,Anterior,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVKR,AVEL,AVE,AVK,Lateral,Anterior,3,3,2,12,2,1,1,1,2,1,1,2,1
AVEL,RMDL,AVE,RMD,Anterior,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDL,AVEL,AVE,RMD,Unclassified,Anterior,3,3,1,4,0,0,1,2,0,0,0,1,0
URYVL,AVER,URY,AVE,Anterior,Anterior,1,3,3,18,2,2,2,2,2,2,2,2,2
AVER,URYVL,URY,AVE,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
URYVL,RIBL,URY,RIB,Anterior,Taxis,1,3,3,17,2,2,1,2,2,2,2,2,2
RIBL,URYVL,URY,RIB,Taxis,Anterior,3,1,1,5,0,0,0,1,1,0,0,2,1
URYVL,AVL,URY,AVL,Anterior,Lateral,1,3,1,1,0,0,0,0,0,0,0,0,1
AVL,URYVL,URY,AVL,Lateral,Anterior,3,1,1,2,0,0,0,0,0,0,1,1,0
URYVL,IL1VL,URY,IL1,Anterior,Anterior,1,1,2,8,0,0,0,0,0,2,2,2,2
IL1VL,URYVL,URY,IL1,Anterior,Anterior,1,1,1,2,0,0,0,0,0,0,1,0,1
URYVL,RIS,URY,RIS,Anterior,Lateral,1,3,1,2,0,0,0,0,0,0,0,1,1
RIS,URYVL,URY,RIS,Lateral,Anterior,3,1,1,3,0,0,0,0,0,0,1,1,1
URYVL,RIGL,URY,RIG,Anterior,Lateral,1,3,0,0,0,0,0,0,0,0,0,0,0
RIGL,URYVL,URY,RIG,Lateral,Anterior,3,1,2,14,2,2,1,2,2,2,0,2,1
URYVL,CEPVL,URY,CEP,Anterior,Anterior,1,1,2,2,0,0,0,0,0,0,0,0,2
CEPVL,URYVL,URY,CEP,Anterior,Anterior,1,1,2,12,1,1,1,1,2,1,1,2,2
URYVL,URAVL,URY,URA,Anterior,Anterior,1,2,0,0,0,0,0,0,0,0,0,0,0
URAVL,URYVL,URY,URA,Anterior,Anterior,2,1,1,1,0,0,0,0,0,0,0,0,1
SAADR,AIBL,SAA,AIB,Lateral,Taxis,3,3,1,1,0,0,0,0,0,0,0,0,1
AIBL,SAADR,SAA,AIB,Taxis,Lateral,3,3,1,4,0,0,0,0,1,0,0,1,2
SAADR,OLLL,SAA,OLL,Lateral,Anterior,3,1,1,8,1,0,0,0,0,1,2,2,2
OLLL,SAADR,SAA,OLL,Anterior,Lateral,1,3,0,0,0,0,0,0,0,0,0,0,0
SAADR,RIGL,SAA,RIG,Lateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIGL,SAADR,SAA,RIG,Lateral,Lateral,3,3,1,1,0,0,1,0,0,0,0,0,0
SAADR,SMDVL,SAA,SMD,Lateral,Lateral,3,3,2,14,0,2,2,2,1,2,2,2,1
SMDVL,SAADR,SAA,SMD,Lateral,Lateral,3,3,1,2,0,0,0,0,0,1,1,0,0
RIH,RIPL,RIH,RIP,Anterior,Anterior,3,2,3,18,2,2,2,2,2,2,2,2,2
RIPL,RIH,RIH,RIP,Anterior,Anterior,2,3,1,5,0,0,1,0,0,0,2,0,2
RIH,RMEL,RIH,RME,Anterior,Anterior,3,3,1,5,1,1,1,0,0,1,0,0,1
RMEL,RIH,RIH,RME,Anterior,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RICR,RICL,RIC,RIC,Sublateral,Sublateral,3,3,1,7,0,1,1,0,0,0,1,2,2
RICL,RICR,RIC,RIC,Sublateral,Sublateral,3,3,1,7,0,1,1,0,0,0,1,2,2
RICR,CEPDL,RIC,CEP,Sublateral,Sublateral,3,1,1,1,0,0,0,0,0,0,0,0,1
CEPDL,RICR,RIC,CEP,Sublateral,Sublateral,1,3,3,18,2,2,2,2,2,2,2,2,2
RICR,CEPVL,RIC,CEP,Sublateral,Anterior,3,1,1,5,0,0,1,0,0,2,1,1,0
CEPVL,RICR,RIC,CEP,Anterior,Sublateral,1,3,3,18,2,2,2,2,2,2,2,2,2
URXL,ADFL,URX,ADF,Unclassified,Taxis,1,1,2,2,0,0,0,0,0,0,0,0,2
ADFL,URXL,URX,ADF,Taxis,Unclassified,1,1,1,8,1,0,1,1,0,1,1,1,2
URXL,AIML,URX,AIM,Unclassified,Taxis,1,2,2,2,0,0,0,0,0,0,0,0,2
AIML,URXL,URX,AIM,Taxis,Unclassified,2,1,1,5,0,0,0,0,1,1,1,0,2
URXL,AUAL,URX,AUA,Unclassified,Taxis,1,3,3,18,2,2,2,2,2,2,2,2,2
AUAL,URXL,URX,AUA,Taxis,Unclassified,3,1,2,11,1,0,2,1,2,0,1,2,2
URXL,CEPDL,URX,CEP,Unclassified,Sublateral,1,1,2,2,0,0,0,0,0,0,0,0,2
CEPDL,URXL,URX,CEP,Sublateral,Unclassified,1,1,2,5,0,0,0,0,0,0,2,2,1
URXL,PVPL,URX,PVP,Unclassified,Avoidance,1,3,1,3,0,1,1,0,1,0,0,0,0
PVPL,URXL,URX,PVP,Avoidance,Unclassified,3,1,1,7,1,2,1,0,2,0,0,0,1
URXL,RIGL,URX,RIG,Unclassified,Lateral,1,3,3,18,2,2,2,2,2,2,2,2,2
RIGL,URXL,URX,RIG,Lateral,Unclassified,3,1,1,5,0,1,0,1,0,1,0,0,2
URXL,RIR,URX,RIR,Unclassified,Unclassified,1,3,2,15,1,0,2,2,2,2,2,2,2
RIR,URXL,URX,RIR,Unclassified,Unclassified,3,1,3,18,2,2,2,2,2,2,2,2,2
RICL,SMDDL,RIC,SMD,Sublateral,Lateral,3,3,2,15,2,2,2,1,1,2,2,1,2
SMDDL,RICL,RIC,SMD,Lateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RICL,URBR,RIC,URB,Sublateral,Sublateral,3,3,1,3,0,0,0,0,0,1,0,1,1
URBR,RICL,RIC,URB,Sublateral,Sublateral,3,3,2,11,0,0,0,2,1,2,2,2,2
RICL,CEPDL,RIC,CEP,Sublateral,Sublateral,3,1,1,4,0,0,1,0,0,0,0,1,2
CEPDL,RICL,RIC,CEP,Sublateral,Sublateral,1,3,3,18,2,2,2,2,2,2,2,2,2
RICL,CEPVL,RIC,CEP,Sublateral,Anterior,3,1,1,5,1,0,0,0,1,0,0,2,1
CEPVL,RICL,RIC,CEP,Anterior,Sublateral,1,3,3,18,2,2,2,2,2,2,2,2,2
RICL,SMBDR,RIC,SMB,Sublateral,Sublateral,3,3,1,3,0,0,0,0,1,0,0,1,1
SMBDR,RICL,RIC,SMB,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RICL,CEPDR,RIC,CEP,Sublateral,Sublateral,3,1,1,1,0,0,0,0,0,0,0,0,1
CEPDR,RICL,RIC,CEP,Sublateral,Sublateral,1,3,3,18,2,2,2,2,2,2,2,2,2
RICL,SIADL,RIC,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,RICL,RIC,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RICL,OLQDR,RIC,OLQ,Sublateral,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
OLQDR,RICL,RIC,OLQ,Anterior,Sublateral,1,3,3,18,2,2,2,2,2,2,2,2,2
RICL,CEPVR,RIC,CEP,Sublateral,Anterior,3,1,1,5,0,0,1,0,0,2,1,1,0
CEPVR,RICL,RIC,CEP,Anterior,Sublateral,1,3,3,18,2,2,2,2,2,2,2,2,2
PVPL,AVBR,PVP,AVB,Avoidance,Avoidance,3,3,2,14,1,1,1,1,2,2,2,2,2
AVBR,PVPL,PVP,AVB,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
PVPL,RIR,PVP,RIR,Avoidance,Unclassified,3,3,1,6,1,2,0,0,0,0,0,2,1
RIR,PVPL,PVP,RIR,Unclassified,Avoidance,3,3,1,5,1,0,0,0,0,0,0,2,2
AVBR,RIBL,AVB,RIB,Avoidance,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
RIBL,AVBR,AVB,RIB,Taxis,Avoidance,3,3,1,4,0,1,0,0,0,0,1,0,2
AVBR,AVHL,AVB,AVH,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
AVHL,AVBR,AVB,AVH,Avoidance,Avoidance,3,3,1,5,0,1,0,0,1,0,0,1,2
AVBR,PVCL,AVB,PVC,Avoidance,Avoidance,3,3,1,1,0,0,0,0,0,0,0,0,1
PVCL,AVBR,AVB,PVC,Avoidance,Avoidance,3,3,3,17,2,2,2,1,2,2,2,2,2
RMDVL,IL1L,RMD,IL1,Anterior,Anterior,3,1,1,1,0,0,0,0,0,0,1,0,0
IL1L,RMDVL,RMD,IL1,Anterior,Anterior,1,3,3,18,2,2,2,2,2,2,2,2,2
RMDVL,AVER,RMD,AVE,Anterior,Anterior,3,3,1,1,0,0,0,0,0,0,0,0,1
AVER,RMDVL,RMD,AVE,Anterior,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDVL,RIAR,RMD,RIA,Anterior,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RIAR,RMDVL,RMD,RIA,Anterior,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
RMDVL,SIADL,RMD,SIA,Anterior,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,RMDVL,RMD,SIA,Sublateral,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDVL,CEPDL,RMD,CEP,Anterior,Sublateral,3,1,1,3,0,0,0,0,0,0,1,0,2
CEPDL,RMDVL,RMD,CEP,Sublateral,Anterior,1,3,2,15,0,1,2,2,2,2,2,2,2
RMDVL,OLLL,RMD,OLL,Anterior,Anterior,3,1,1,2,0,0,0,0,0,0,2,0,0
OLLL,RMDVL,RMD,OLL,Anterior,Anterior,1,3,2,16,0,2,2,2,2,2,2,2,2
RMDVL,RMDDL,RMD,RMD,Anterior,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDDL,RMDVL,RMD,RMD,Anterior,Anterior,3,3,2,2,0,0,0,0,0,0,0,0,2
RMDVL,RMDL,RMD,RMD,Anterior,Unclassified,3,3,1,1,0,0,0,0,0,0,1,0,0
RMDL,RMDVL,RMD,RMD,Unclassified,Anterior,3,3,1,6,1,0,0,1,1,1,0,1,1
RMDVL,RMDDR,RMD,RMD,Anterior,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
RMDDR,RMDVL,RMD,RMD,Anterior,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
RMDVL,SMBVR,RMD,SMB,Anterior,Sublateral,3,3,1,5,0,0,0,0,1,0,2,2,0
SMBVR,RMDVL,RMD,SMB,Sublateral,Anterior,3,3,1,8,1,2,0,1,0,1,0,2,1
RMDVL,RMED,RMD,RMED,Anterior,Anterior,3,3,2,6,0,0,0,0,0,2,2,2,0
RMED,RMDVL,RMD,RMED,Anterior,Anterior,3,3,2,15,2,2,2,2,2,2,2,1,0
RMDVL,SIAVR,RMD,SIA,Anterior,Sublateral,3,3,1,3,0,0,0,0,0,0,1,0,2
SIAVR,RMDVL,RMD,SIA,Sublateral,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDVL,RMDR,RMD,RMD,Anterior,Unclassified,3,3,1,2,0,0,0,0,0,0,1,0,1
RMDR,RMDVL,RMD,RMD,Unclassified,Anterior,3,3,3,16,2,2,1,2,2,2,2,1,2
RMDVL,IL1R,RMD,IL1,Anterior,Anterior,3,1,2,2,0,0,0,0,0,0,0,0,2
IL1R,RMDVL,RMD,IL1,Anterior,Anterior,1,3,2,12,1,2,0,0,2,2,2,1,2
SMDDL,RIS,SMD,RIS,Lateral,Lateral,3,3,2,3,0,0,0,0,0,0,0,1,2
RIS,SMDDL,SMD,RIS,Lateral,Lateral,3,3,2,13,1,1,1,1,2,2,1,2,2
SMDDL,RIBL,SMD,RIB,Lateral,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
RIBL,SMDDL,SMD,RIB,Taxis,Lateral,3,3,1,3,0,0,0,0,1,0,1,1,0
SMDDL,URYDR,SMD,URY,Lateral,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
URYDR,SMDDL,SMD,URY,Anterior,Lateral,1,3,3,18,2,2,2,2,2,2,2,2,2
SMDDL,SMDDR,SMD,SMD,Lateral,Lateral,3,3,2,2,0,0,0,0,0,0,0,0,2
SMDDR,SMDDL,SMD,SMD,Lateral,Lateral,3,3,2,2,0,0,0,0,0,0,0,0,2
SMDDL,RIBR,SMD,RIB,Lateral,Taxis,3,3,1,1,0,0,0,0,0,0,0,0,1
RIBR,SMDDL,SMD,RIB,Taxis,Lateral,3,3,2,8,0,0,0,2,2,0,1,2,1
SMDDL,RIAR,SMD,RIA,Lateral,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
RIAR,SMDDL,SMD,RIA,Anterior,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDDL,RIMR,SMD,RIM,Lateral,Lateral,3,3,1,1,0,0,0,0,0,0,0,0,1
RIMR,SMDDL,SMD,RIM,Lateral,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDDL,CEPDR,SMD,CEP,Lateral,Sublateral,3,1,1,7,1,0,1,0,2,0,2,1,0
CEPDR,SMDDL,SMD,CEP,Sublateral,Lateral,1,3,1,5,2,0,0,2,0,0,0,1,0
SMDDL,SIADL,SMD,SIA,Lateral,Sublateral,3,3,1,1,0,0,0,0,0,1,0,0,0
SIADL,SMDDL,SMD,SIA,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDDL,SMDVL,SMD,SMD,Lateral,Lateral,3,3,1,1,0,1,0,0,0,0,0,0,0
SMDVL,SMDDL,SMD,SMD,Lateral,Lateral,3,3,1,1,0,1,0,0,0,0,0,0,0
SMDDL,RMDL,SMD,RMD,Lateral,Unclassified,3,3,1,4,0,0,0,0,0,1,0,1,2
RMDL,SMDDL,SMD,RMD,Unclassified,Lateral,3,3,1,2,0,0,0,0,0,0,0,1,1
SMDDL,OLLR,SMD,OLL,Lateral,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
OLLR,SMDDL,SMD,OLL,Anterior,Lateral,1,3,3,18,2,2,2,2,2,2,2,2,2
SMDDL,RMED,SMD,RMED,Lateral,Anterior,3,3,1,3,0,0,1,0,0,0,0,0,2
RMED,SMDDL,SMD,RMED,Anterior,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDDL,RMDR,SMD,RMD,Lateral,Unclassified,3,3,1,9,1,0,1,1,1,2,0,2,1
RMDR,SMDDL,SMD,RMD,Unclassified,Lateral,3,3,1,1,0,0,0,0,0,0,0,0,1
AVKL,AVER,AVK,AVE,Lateral,Anterior,3,3,2,12,2,1,1,1,2,1,1,2,1
AVER,AVKL,AVK,AVE,Anterior,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVKL,RIGR,AVK,RIG,Lateral,Lateral,3,3,1,6,1,0,0,0,1,1,2,0,1
RIGR,AVKL,AVK,RIG,Lateral,Lateral,3,3,2,16,2,2,0,2,2,2,2,2,2
AVKL,PVT,AVK,PVT,Lateral,Lateral,3,2,1,2,0,0,0,0,1,0,1,0,0
PVT,AVKL,AVK,PVT,Lateral,Lateral,2,3,3,18,2,2,2,2,2,2,2,2,2
AVKL,DVC,AVK,DVC,Lateral,Lateral,3,3,1,2,1,0,0,0,0,0,1,0,0
