pre,post,class_1,class_2,cluster_1,cluster_2,layer_1,layer_2,synapse_class,total_contacts,L1-0,L1-5,L1-8,L1-16,L2,L3,L4-JSH,Adult-50,Adult-N2U
AIZL,RIML,RIM,AIZ,Taxis,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
RIML,AUAL,RIM,AUA,Lateral,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
AUAL,RIML,RIM,AUA,Taxis,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIML,AVAL,RIM,AVA,Lateral,Unclassified,3,3,1,2,0,0,0,0,0,0,0,1,1
AVAL,RIML,RIM,AVA,Unclassified,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIML,AVBL,RIM,AVB,Lateral,Avoidance,3,3,2,15,1,1,2,1,2,2,2,2,2
AVBL,RIML,RIM,AVB,Avoidance,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIML,AVEL,RIM,AVE,Lateral,Anterior,3,3,1,2,0,0,0,0,0,0,1,1,0
AVEL,RIML,RIM,AVE,Anterior,Lateral,3,3,1,1,0,0,0,0,0,0,0,0,1
RIML,AVKL,RIM,AVK,Lateral,Lateral,3,3,1,1,0,0,0,0,0,0,0,1,0
AVKL,RIML,RIM,AVK,Lateral,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
RIML,RIBL,RIM,RIB,Lateral,Taxis,3,3,3,17,1,2,2,2,2,2,2,2,2
RIBL,RIML,RIM,RIB,Taxis,Lateral,3,3,1,4,0,1,0,0,0,1,1,0,1
RIML,AVER,RIM,AVE,Lateral,Anterior,3,3,1,3,0,0,0,0,0,1,1,0,1
AVER,RIML,RIM,AVE,Anterior,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIML,RIS,RIM,RIS,Lateral,Lateral,3,3,1,9,1,1,1,2,0,1,0,2,1
RIS,RIML,RIM,RIS,Lateral,Lateral,3,3,2,16,0,2,2,2,2,2,2,2,2
RIML,SMDVL,RIM,SMD,Lateral,Lateral,3,3,3,17,1,2,2,2,2,2,2,2,2
SMDVL,RIML,RIM,SMD,Lateral,Lateral,3,3,1,1,0,0,0,0,0,0,0,1,0
RIML,SMDDR,RIM,SMD,Lateral,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDDR,RIML,RIM,SMD,Lateral,Lateral,3,3,1,1,0,0,0,0,0,0,0,0,1
RIML,AVAR,RIM,AVA,Lateral,Unclassified,3,3,1,9,1,1,0,0,1,2,1,1,2
AVAR,RIML,RIM,AVA,Unclassified,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIML,SMDVR,RIM,SMD,Lateral,Lateral,3,3,2,15,2,2,0,2,2,2,2,2,1
SMDVR,RIML,RIM,SMD,Lateral,Lateral,3,3,1,1,0,0,0,0,0,0,0,0,1
RIML,AIBR,RIM,AIB,Lateral,Taxis,3,3,3,17,1,2,2,2,2,2,2,2,2
AIBR,RIML,RIM,AIB,Taxis,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
RIML,SIBDL,RIM,SIB,Lateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIBDL,RIML,RIM,SIB,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIML,SAADR,RIM,SAA,Lateral,Lateral,3,3,2,10,0,0,1,1,1,2,2,2,1
SAADR,RIML,RIM,SAA,Lateral,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
RIML,SMDDL,RIM,SMD,Lateral,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDDL,RIML,RIM,SMD,Lateral,Lateral,3,3,2,10,0,0,0,0,2,2,2,2,2
RIML,SIADL,RIM,SIA,Lateral,Sublateral,3,3,1,5,0,1,0,1,1,1,0,1,0
SIADL,RIML,RIM,SIA,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIML,RIMR,RIM,RIM,Lateral,Lateral,3,3,2,4,0,0,0,0,0,0,1,1,2
RIMR,RIML,RIM,RIM,Lateral,Lateral,3,3,2,4,0,0,0,0,0,0,1,1,2
RIML,RMDR,RIM,RMD,Lateral,Unclassified,3,3,3,18,2,2,2,2,2,2,2,2,2
RMDR,RIML,RIM,RMD,Unclassified,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIML,AVBR,RIM,AVB,Lateral,Avoidance,3,3,3,18,2,2,2,2,2,2,2,2,2
AVBR,RIML,RIM,AVB,Avoidance,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIML,AVKR,RIM,AVK,Lateral,Lateral,3,3,2,5,0,0,0,0,0,1,0,2,2
AVKR,RIML,RIM,AVK,Lateral,Lateral,3,3,3,17,2,2,1,2,2,2,2,2,2
AVHR,ADFL,AVH,ADF,Avoidance,Taxis,3,1,3,16,1,2,2,2,2,2,2,2,1
ADFL,AVHR,AVH,ADF,Taxis,Avoidance,1,3,1,7,1,2,0,0,1,0,1,1,1
AVHR,AVBL,AVH,AVB,Avoidance,Avoidance,3,3,1,5,0,1,0,0,1,0,0,1,2
AVBL,AVHR,AVH,AVB,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
AVHR,PVPL,AVH,PVP,Avoidance,Avoidance,3,3,2,12,0,1,1,1,1,2,2,2,2
PVPL,AVHR,AVH,PVP,Avoidance,Avoidance,3,3,2,10,1,1,1,1,0,0,2,2,2
AVHR,SMBVL,AVH,SMB,Avoidance,Sublateral,3,3,2,11,0,1,0,1,2,1,2,2,2
SMBVL,AVHR,AVH,SMB,Sublateral,Avoidance,3,3,2,2,0,0,0,0,0,0,0,0,2
SMBVL,AIML,SMB,AIM,Sublateral,Taxis,3,2,1,1,0,0,0,0,0,0,0,0,1
AIML,SMBVL,SMB,AIM,Taxis,Sublateral,2,3,1,2,0,0,0,0,0,0,0,1,1
SMBVL,RICL,SMB,RIC,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RICL,SMBVL,SMB,RIC,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMBVL,AIZL,SMB,AIZ,Sublateral,Taxis,3,3,1,1,0,0,0,0,0,0,1,0,0
AIZL,SMBVL,SMB,AIZ,Taxis,Sublateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMBVL,SMBDL,SMB,SMB,Sublateral,Sublateral,3,3,2,2,0,0,0,0,0,0,0,0,2
SMBDL,SMBVL,SMB,SMB,Sublateral,Sublateral,3,3,1,1,0,0,0,0,0,0,0,0,1
SMBVL,ADFL,SMB,ADF,Sublateral,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
ADFL,SMBVL,SMB,ADF,Taxis,Sublateral,1,3,2,14,0,1,2,2,1,2,2,2,2
SMBVL,AIYL,SMB,AIY,Sublateral,Taxis,3,2,0,0,0,0,0,0,0,0,0,0,0
AIYL,SMBVL,SMB,AIY,Taxis,Sublateral,2,3,0,0,0,0,0,0,0,0,0,0,0
SMBVL,CEPVL,SMB,CEP,Sublateral,Anterior,3,1,1,4,0,0,0,1,1,0,0,1,1
CEPVL,SMBVL,SMB,CEP,Anterior,Sublateral,1,3,1,6,0,0,0,1,1,0,0,2,2
SMBVL,SIAVL,SMB,SIA,Sublateral,Sublateral,3,3,1,3,0,0,0,0,1,1,1,0,0
SIAVL,SMBVL,SMB,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMBVL,SIBDL,SMB,SIB,Sublateral,Sublateral,3,3,1,1,0,0,0,0,1,0,0,0,0
SIBDL,SMBVL,SMB,SIB,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMBDL,DVA,SMB,DVA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
DVA,SMBDL,SMB,DVA,Sublateral,Sublateral,3,3,2,4,0,0,0,0,0,0,0,2,2
SMBDL,ALMR,SMB,ALM,Sublateral,Avoidance,3,1,0,0,0,0,0,0,0,0,0,0,0
ALMR,SMBDL,SMB,ALM,Avoidance,Sublateral,1,3,1,1,0,0,0,0,0,0,0,0,1
SMBDL,URBR,SMB,URB,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
URBR,SMBDL,SMB,URB,Sublateral,Sublateral,3,3,2,4,0,0,0,0,0,0,1,1,2
SMBDL,RICL,SMB,RIC,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RICL,SMBDL,SMB,RIC,Sublateral,Sublateral,3,3,2,8,0,0,0,2,0,1,2,1,2
SMBDL,RICR,SMB,RIC,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RICR,SMBDL,SMB,RIC,Sublateral,Sublateral,3,3,1,3,0,0,0,0,1,0,0,1,1
SMBDL,SMBDR,SMB,SMB,Sublateral,Sublateral,3,3,1,2,0,1,0,0,0,0,0,0,1
SMBDR,SMBDL,SMB,SMB,Sublateral,Sublateral,3,3,1,2,0,1,0,0,0,0,0,0,1
SMBDL,AIZL,SMB,AIZ,Sublateral,Taxis,3,3,1,1,0,0,0,0,0,0,0,0,1
AIZL,SMBDL,SMB,AIZ,Taxis,Sublateral,3,3,3,18,2,2,2,2,2,2,2,2,2
